Category,State/UT,Area in sq. Km.,Population,Percentage increase 2001-2011,"Females per 1,000 Males",Persons per Sq. Kilometre,Percentage of Literacy - Male,Percentage of Literacy - Female
State,Andhra Pradesh,275045,84580777,11,993,308,74.9,59.1
State,Arunachal Pradesh,83743,1383727,26,938,17,72.6,57.7
State,Assam,78438,31205576,17.1,958,398,77.8,66.3
State,Bihar,94163,104099452,25.4,918,1106,71.2,51.5
State,Chhatisgarh,135192,25545198,22.6,991,189,80.3,60.2
State,Goa,3702,1458545,8.2,973,394,92.6,84.7
State,Gujarat,196024,60439692,19.3,919,308,85.8,69.7
State,Haryana,44212,25351462,19.9,879,573,84.1,65.9
State,Himachal Pradesh,55673,6864602,12.9,972,123,89.5,75.9
State,Jammu & Kashmir,222236,12541302,23.6,889,124,76.8,56.4
State,Jharkhand,79716,32988134,22.4,949,414,76.8,55.4
State,Karnataka,191791,61095297,15.6,973,319,82.5,68.1
State,Kerala,38863,33406061,4.9,1084,860,96.1,92.1
State,Madhya Pradesh,308245,72626809,20.3,931,236,78.7,59.2
State,Maharashtra,307713,112374333,16,929,365,88.4,75.9
State,Manipur,22327,2570390,18.6,992,115,86.1,72.4
State,Meghalaya,22429,2966889,27.9,989,132,76,72.9
State,Mizoram,21081,1097206,23.5,976,52,93.3,89.3
State,Nagaland,16579,1978502,-0.6,931,119,82.8,76.1
State,Odisha,155707,41974218,14,979,270,81.6,64
State,Punjab,50362,27743338,13.9,895,551,80.4,70.7
State,Rajasthan,342239,68548437,21.3,928,200,79.2,52.1
State,Sikkim,7096,610577,12.9,890,86,86.6,75.6
State,Tamil Nadu,130058,72147030,15.6,996,555,86.8,73.4
State,Telengana,275045,84580777,11,993,308,74.9,59.1
State,Tripura,10486,3673917,14.8,960,350,91.5,82.7
State,Uttar Pradesh,240928,199812341,20.2,912,829,77.3,57.2
State,Uttrakhand,53483,10086292,18.8,963,189,87.4,70
State,West Bengal,88752,91276115,13.8,950,1028,81.7,70.5
UT,Andaman & Nicobar Islands,8249,380581,6.9,876,46,90.3,82.4
UT,Chandigarh,114,1055450,17.2,818,9258,90,81.2
UT,Dadra & Nagar Haveli,491,343709,55.9,774,700,85.2,64.3
UT,Daman & Diu,112,243247,53.8,618,2191,91.5,79.5
UT,Delhi,1483,16787941,21.2,868,11320,90.9,80.8
UT,Lakshadweep,32,64473,6.3,947,2149,95.6,87.9
UT,Puducherry,479,1247953,28.1,1037,2547,91.3,80.7
