Sl. No.,State/UT-wise,State/UT-Wise Total Number of Road Accidents due to Drunken Driving/ Consumption of alcohol during - 2017,State/UT-Wise Total Number of Road Accidents due to Drunken Driving/ Consumption of alcohol during - 2018,State/UT-Wise Total Number of Road Accidents due to Drunken Driving/ Consumption of alcohol during - 2019
1,Andhra Pradesh,2064,1345,127
2,Arunachal Pradesh,19,55,46
3,Assam,373,377,279
4,Bihar,0,10,0
5,Chhattisgarh,86,216,134
6,Goa,10,9,6
7,Gujarat,65,106,47
8,Haryana,180,474,299
9,Himachal Pradesh,214,322,75
10,Jammu & Kashmir,1,20,25
11,Jharkhand,801,517,686
12,Karnataka,169,139,132
13,Kerala,133,157,104
14,Madhya Pradesh,1049,893,1030
15,Maharashtra,863,188,258
16,Manipur,44,74,81
17,Meghalaya,132,117,23
18,Mizoram,16,16,17
19,Nagaland,157,83,132
20,Odisha,1533,1220,1068
21,Punjab,129,112,1290
22,Rajasthan,421,146,262
23,Sikkim,32,2,19
24,Tamil Nadu,1833,1128,1047
25,Telangana,163,182,246
26,Tripura,11,28,19
27,Uttarakhand,56,20,25
28,Uttar Pradesh,3336,3595,4496
29,West Bengal,16,79,8
30,Andaman & Nicobar Islands,13,20,41
31,Chandigarh,10,12,8
32,Dadra & Nagar Haveli,1,1,1
33,Daman & Diu,12,8,4
34,Delhi,124,333,215
35,Lakshadweep,0,0,0
36,Puducherry,5,14,6
Total ,Total ,14071,12018,12256
